Wall time,Step,Value
1669655975.16081,0,0.0
1669656667.3478973,1,0.0
1669657356.6353676,2,0.0
1669658048.8186612,3,0.0
1669658737.8125694,4,0.0
1669659430.721601,5,0.0
1669660118.993578,6,0.0
1669660813.0370421,7,0.0
1669661502.1717262,8,0.0
1669662196.0241125,9,0.0
1669662885.263177,10,0.0
1669663577.137136,11,0.0
1669664265.8402734,12,0.0
1669664958.5210993,13,0.0
1669665645.4433649,14,0.0
1669666337.9348137,15,0.0
1669667027.066651,16,0.0
1669667718.648171,17,0.0
1669668407.4165645,18,0.0
1669669100.1977642,19,0.0
1669669788.7484224,20,0.0
1669670482.8685017,21,0.0
1669671169.465568,22,0.0
1669671860.6318383,23,0.0
1669672549.4580984,24,0.0
1669673241.0256371,25,0.0
1669673930.6986537,26,0.0
1669674622.5706751,27,0.0
1669675311.2322607,28,0.0
1669676025.2186437,29,0.0
1669676735.586543,30,0.0
1669677450.1574893,31,0.0
1669678160.57252,32,0.0
1669678875.1215167,33,0.0
1669679586.0839467,34,0.0
1669680300.4981668,35,0.0
1669681012.1819587,36,0.0
1669681727.5962832,37,0.0
1669682438.9825969,38,0.0
1669683155.9665465,39,0.0
1669683867.9827182,40,0.0
1669684582.8542573,41,0.0
1669685294.4143157,42,0.0
1669686009.6615238,43,0.0
1669686721.14753,44,0.0
1669687436.8846273,45,0.0
1669688148.424273,46,0.0
1669688863.978395,47,0.0
1669689575.770563,48,0.0
1669690314.9474168,49,3.681626796722412
1669691051.0400822,50,3.6727781295776367
1669691792.206988,51,3.6480889320373535
1669692527.5211627,52,3.608658790588379
1669693265.519641,53,3.609912633895874
1669694000.5671492,54,3.574352741241455
1669694741.2505338,55,3.56217360496521
1669695478.2207606,56,3.4792284965515137
1669696217.5234935,57,3.4263548851013184
1669696952.9597476,58,3.4263570308685303
1669697691.7030008,59,3.3841614723205566
1669698427.810609,60,3.422830581665039
1669699168.1300228,61,3.3791089057922363
1669699904.9505045,62,3.3723554611206055
1669700644.4863453,63,3.356557607650757
1669701375.5195842,64,3.4060394763946533
1669702110.1370263,65,3.4037344455718994
1669702844.3698528,66,3.364104747772217
1669703579.806728,67,3.3580033779144287
1669704310.9385264,68,3.313809871673584
1669705047.4452372,69,3.409090042114258
1669705779.534156,70,3.3434560298919678
1669706517.1735647,71,3.327162742614746
1669707251.0900736,72,3.335254430770874
1669707986.490911,73,3.2710347175598145
1669708718.4126616,74,3.314844846725464
1669709455.1090736,75,3.3006975650787354
1669710187.0202487,76,3.2836108207702637
1669710922.6660275,77,3.308789014816284
1669711656.6864133,78,3.2939512729644775
1669712393.4032488,79,3.3155715465545654
1669713126.098609,80,3.311577320098877
1669713865.4282749,81,3.3137640953063965
1669714598.988554,82,3.3014612197875977
1669715335.4998264,83,3.293118715286255
1669716069.1678019,84,3.2973480224609375
1669716806.3361907,85,3.2963602542877197
1669717539.405983,86,3.325157880783081
1669718274.9396005,87,3.3125998973846436
1669719005.4596746,88,3.311664342880249
1669719742.8649309,89,3.3281071186065674
1669720478.5526857,90,3.3637144565582275
1669721215.8600638,91,3.319645643234253
1669721950.4559681,92,3.325399875640869
1669722688.3506336,93,3.3559627532958984
1669723421.025499,94,3.306976079940796
1669724158.762183,95,3.3464431762695312
1669724895.0647502,96,3.316042423248291
1669725633.9288962,97,3.370359182357788
1669726368.344509,98,3.373422622680664
1669727105.7875438,99,3.381002187728882
1669727840.2732022,100,3.3709962368011475
1669728578.6787555,101,3.3653433322906494
1669729312.571022,102,3.417421817779541
1669730051.698567,103,3.376041889190674
1669730787.2838128,104,3.419883966445923
1669731524.4434547,105,3.364417314529419
1669732257.5862167,106,3.4113857746124268
1669732995.9171197,107,3.373795986175537
1669733733.8893611,108,3.3620898723602295
1669734474.601052,109,3.4308645725250244
1669735211.9609337,110,3.40326189994812
1669735953.7862577,111,3.412567377090454
1669736688.745932,112,3.3940680027008057
1669737428.1462085,113,3.448906898498535
1669738163.510534,114,3.4002320766448975
1669738902.6351597,115,3.4718031883239746
1669739638.7893307,116,3.426741361618042
1669740380.129678,117,3.4377996921539307
1669741116.6429002,118,3.4535720348358154
