Wall time,Step,Value
1670867616.8640163,0,0.0
1670867967.1134021,1,0.0
1670868312.3299332,2,0.0
1670868657.771026,3,0.0
1670869003.2156622,4,0.0
1670869348.550596,5,0.0
1670869693.7289581,6,0.0
1670870038.9580848,7,0.0
1670870384.0074632,8,0.0
1670870729.1807709,9,0.0
1670871074.5485353,10,0.0
1670871424.0339248,11,0.0
1670871769.3232718,12,0.0
1670872114.5585802,13,0.0
1670872459.7926536,14,0.0
1670872804.9066722,15,0.0
1670873149.8378127,16,0.0
1670873494.905702,17,0.0
1670873839.9686005,18,0.0
1670874185.3097906,19,0.0
1670874530.569208,20,0.0
1670874880.5754676,21,0.0
1670875225.8379705,22,0.0
1670875570.9967892,23,0.0
1670875916.33771,24,0.0
1670876261.584102,25,0.0
1670876606.9009655,26,0.0
1670876952.1556752,27,0.0
1670877297.496268,28,0.0
1670877655.1084921,29,0.020866895094513893
1670878012.5904934,30,0.013630279339849949
1670878374.6539845,31,0.012062039226293564
1670878732.235413,32,0.01158466748893261
1670879089.8102329,33,0.012390668503940105
1670879447.2849455,34,0.011623443104326725
1670879804.886357,35,0.012766939587891102
1670880162.4731877,36,0.012039841152727604
1670880520.1639864,37,0.012208789587020874
1670880877.9131684,38,0.011061049997806549
1670881235.576369,39,0.010984530672430992
1670881592.953479,40,0.011561681516468525
1670881954.7802103,41,0.011351161636412144
1670882312.3968873,42,0.010299802757799625
1670882670.0470912,43,0.01090568769723177
1670883027.4146628,44,0.011164859868586063
1670883385.1061497,45,0.010335813276469707
1670883742.5238476,46,0.011119438335299492
1670884100.2787993,47,0.010972520336508751
1670884457.7633545,48,0.010706993751227856
1670884833.2942677,49,0.010046019218862057
1670885208.900386,50,0.010183949954807758
1670885588.8745246,51,0.009676141664385796
1670885964.415141,52,0.009883972816169262
1670886339.9774425,53,0.009716623462736607
1670886715.736518,54,0.00882337149232626
1670887091.1025531,55,0.010034453123807907
1670887466.4242928,56,0.009392807260155678
1670887841.5052927,57,0.01004556380212307
1670888216.8834481,58,0.010122831910848618
1670888592.3838243,59,0.01010341476649046
1670888967.812809,60,0.009302410297095776
1670889355.2960868,61,0.009032875299453735
1670889730.5794797,62,0.011689706705510616
1670890105.8282056,63,0.010199799202382565
1670890481.3213809,64,0.010434865951538086
1670890856.6508942,65,0.010484221391379833
1670891231.9881349,66,0.01085895486176014
1670891607.458594,67,0.0101707112044096
1670891982.934715,68,0.010443107225000858
1670892358.1941235,69,0.010911294259130955
1670892733.5205317,70,0.011336036957800388
1670893113.97712,71,0.010649723932147026
1670893489.2930436,72,0.010466731153428555
1670893864.6781461,73,0.011280883103609085
1670894240.440477,74,0.011855090968310833
1670894615.8534124,75,0.01127780694514513
1670894991.324209,76,0.010966069996356964
1670895366.7176988,77,0.011445632204413414
1670895742.1844645,78,0.011237227357923985
1670896117.622562,79,0.011677900329232216
1670896492.978485,80,0.011781208217144012
1670896873.5071068,81,0.01123077142983675
1670897248.8566406,82,0.01145794428884983
1670897624.3285325,83,0.012207555584609509
1670897999.5074792,84,0.011799449101090431
1670898374.666463,85,0.012360777705907822
1670898749.725289,86,0.012571082450449467
1670899125.2973518,87,0.011773779056966305
1670899500.591931,88,0.011787154711782932
1670899875.9721682,89,0.011682020500302315
1670900251.3716116,90,0.012835396453738213
1670900632.1467607,91,0.012413309887051582
1670901007.4252799,92,0.011998164467513561
1670901383.002762,93,0.011698732152581215
1670901758.3216221,94,0.011937005445361137
1670902133.6776605,95,0.012006217613816261
1670902509.1265042,96,0.012054814025759697
1670902884.3101182,97,0.012448062188923359
1670903259.597325,98,0.01187561172991991
1670903634.7213507,99,0.011348276399075985
1670904010.052955,100,0.012516576796770096
1670904390.5374935,101,0.011876215226948261
1670904765.909056,102,0.012969856150448322
1670905141.3822644,103,0.012251283042132854
1670905516.8005402,104,0.011424403637647629
1670905892.1389074,105,0.011661713942885399
1670906267.4954438,106,0.01179421041160822
1670906642.8352685,107,0.013342417776584625
1670907018.0452712,108,0.012154746800661087
1670907393.4778907,109,0.011334879323840141
1670907768.9551203,110,0.012485976330935955
1670908149.6974795,111,0.013217994943261147
1670908525.3137891,112,0.014008335769176483
1670908900.6365383,113,0.013277547433972359
1670909275.9913166,114,0.013161306269466877
1670909651.3703701,115,0.012651250697672367
1670910026.5658789,116,0.011905987747013569
1670910401.8992426,117,0.012776454910635948
1670910776.9751227,118,0.014259682036936283
1670911152.3342788,119,0.01272035576403141
1670911527.634918,120,0.013375512324273586
1670911908.7181075,121,0.013816769234836102
1670912284.0805452,122,0.013579592108726501
1670912659.247997,123,0.012228734791278839
1670913034.6610081,124,0.012945456430315971
1670913409.9874344,125,0.013886003755033016
1670913785.240492,126,0.01327867154031992
1670914160.304503,127,0.013678239658474922
1670914535.6479056,128,0.015325031243264675
1670914910.8350618,129,0.012715657241642475
1670915286.099031,130,0.012272314168512821
1670915667.2303,131,0.012381648644804955
1670916042.5682595,132,0.014151820912957191
1670916418.0853057,133,0.011874261312186718
1670916793.5339513,134,0.014059600420296192
1670917169.123659,135,0.01284712739288807
1670917544.5946918,136,0.013416832312941551
1670917920.0859623,137,0.01283987332135439
1670918295.3395312,138,0.013858499005436897
1670918670.6364489,139,0.013499642722308636
1670919045.986744,140,0.014502240344882011
1670919426.6236293,141,0.013340847566723824
1670919802.000171,142,0.013795365579426289
1670920177.4650912,143,0.01282165851444006
1670920553.031044,144,0.014053220860660076
1670920928.3196843,145,0.014040562324225903
1670921303.8134055,146,0.013906186446547508
1670921679.1563754,147,0.013588308356702328
1670922054.492092,148,0.014419165439903736
1670922429.7929933,149,0.013190984725952148
