Wall time,Step,Value
1669655975.149766,0,0.005891766399145126
1669656667.3375938,1,0.009142071008682251
1669657356.6252618,2,0.033061906695365906
1669658048.8084674,3,0.032308001071214676
1669658737.8033707,4,0.0533716157078743
1669659430.7110147,5,0.06841301172971725
1669660118.9838445,6,0.06864780932664871
1669660813.029505,7,0.07908790558576584
1669661502.1619873,8,0.07226374745368958
1669662196.0137892,9,0.06310165673494339
1669662885.2538228,10,0.06084374338388443
1669663577.1270993,11,0.06296178698539734
1669664265.831627,12,0.06439442187547684
1669664958.5101264,13,0.06411821395158768
1669665645.4327128,14,0.06349488347768784
1669666337.9233222,15,0.06892699748277664
1669667027.0585625,16,0.06679081171751022
1669667718.6385853,17,0.06544727087020874
1669668407.4069946,18,0.06552977114915848
1669669100.1883535,19,0.07421847432851791
1669669788.7383769,20,0.0741107314825058
1669670482.8604088,21,0.07234394550323486
1669671169.456357,22,0.07394736260175705
1669671860.622043,23,0.077055424451828
1669672549.4484966,24,0.07618121802806854
1669673241.01738,25,0.0789928138256073
1669673930.6889036,26,0.07619629055261612
1669674622.5626202,27,0.08015558123588562
1669675311.2229323,28,0.07979918271303177
1669676025.2087367,29,0.017757700756192207
1669676735.578481,30,0.029810287058353424
1669677450.147138,31,0.034284885972738266
1669678160.5631728,32,0.03826064616441727
1669678875.1117358,33,0.040222641080617905
1669679586.0754094,34,0.041197650134563446
1669680300.4886937,35,0.042349688708782196
1669681012.172194,36,0.04284621775150299
1669681727.5867932,37,0.04593350365757942
1669682438.9731815,38,0.04540771245956421
1669683155.9572387,39,0.048546887934207916
1669683867.9734118,40,0.04712658002972603
1669684582.8431187,41,0.049795664846897125
1669685294.4054384,42,0.04976769536733627
1669686009.652498,43,0.05038229003548622
1669686721.1380413,44,0.05132293328642845
1669687436.8742266,45,0.05307456851005554
1669688148.4146235,46,0.05267691984772682
1669688863.9683137,47,0.05215601250529289
1669689575.7610726,48,0.05352704972028732
1669690314.9374177,49,0.051804497838020325
1669691051.030968,50,0.05539421737194061
1669691792.1973808,51,0.05476933345198631
1669692527.512251,52,0.05571075528860092
1669693265.5114877,53,0.05572335049510002
1669694000.5576642,54,0.05506971478462219
1669694741.2404075,55,0.05535723268985748
1669695478.211558,56,0.05466128885746002
1669696217.5146594,57,0.057973310351371765
1669696952.9502666,58,0.05928739905357361
1669697691.692213,59,0.05617011711001396
1669698427.801022,60,0.05826006457209587
1669699168.1217837,61,0.05920596793293953
1669699904.9418473,62,0.060654040426015854
1669700644.4768422,63,0.05926899611949921
1669701375.5109622,64,0.058667875826358795
1669702110.1288576,65,0.05903857573866844
1669702844.361155,66,0.06034080311655998
1669703579.7973404,67,0.05769671872258186
1669704310.9288886,68,0.060324858874082565
1669705047.4339392,69,0.06011062115430832
1669705779.5246289,70,0.05922598019242287
1669706517.1640592,71,0.061256155371665955
1669707251.0805397,72,0.062152277678251266
1669707986.4821572,73,0.05974127724766731
1669708718.4031277,74,0.05977005511522293
1669709455.0990088,75,0.06068037822842598
1669710187.0128667,76,0.060734085738658905
1669710922.6568778,77,0.06121586263179779
1669711656.6768947,78,0.06212138384580612
1669712393.3940718,79,0.06045203283429146
1669713126.0886693,80,0.06034025922417641
1669713865.4178164,81,0.06234592944383621
1669714598.9797442,82,0.058189939707517624
1669715335.4903703,83,0.06182181090116501
1669716069.158425,84,0.061060335487127304
1669716806.326399,85,0.05856354534626007
1669717539.394845,86,0.06160664185881615
1669718274.9283316,87,0.06148247420787811
1669719005.451245,88,0.06187224015593529
1669719742.8560736,89,0.06101333349943161
1669720478.5420816,90,0.0613519549369812
1669721215.8500838,91,0.06192110851407051
1669721950.4466805,92,0.06298740208148956
1669722688.341991,93,0.06280110031366348
1669723421.0156062,94,0.0639892965555191
1669724158.752466,95,0.062054116278886795
1669724895.0544696,96,0.062081363052129745
1669725633.9195788,97,0.062108926475048065
1669726368.335189,98,0.06483787298202515
1669727105.778331,99,0.06396052986383438
1669727840.263652,100,0.062031183391809464
1669728578.6685684,101,0.06458061188459396
1669729312.562195,102,0.06017260625958443
1669730051.6888855,103,0.06280473619699478
1669730787.27446,104,0.06538166850805283
1669731524.434316,105,0.06355541944503784
1669732257.5764315,106,0.06358443200588226
1669732995.9082472,107,0.062437158077955246
1669733733.8797843,108,0.0668390691280365
1669734474.5918868,109,0.0616188682615757
1669735211.9514515,110,0.06335733830928802
1669735953.7766867,111,0.0655367523431778
1669736688.736782,112,0.06297583132982254
1669737428.136765,113,0.06673144549131393
1669738163.5012558,114,0.0641273781657219
1669738902.625194,115,0.06498844921588898
1669739638.780078,116,0.06563414633274078
1669740380.1206813,117,0.0677950382232666
1669741116.634336,118,0.06163601577281952
