Wall time,Step,Value
1670867616.8692806,0,0.43913087248802185
1670867967.1206229,1,0.27272602915763855
1670868312.3361971,2,0.26367729902267456
1670868657.7761798,3,0.2547464668750763
1670869003.22175,4,0.23375184834003448
1670869348.556728,5,0.21353989839553833
1670869693.734372,6,0.21929070353507996
1670870038.9646707,7,0.19838789105415344
1670870384.0131116,8,0.19727513194084167
1670870729.18691,9,0.1902696192264557
1670871074.5553496,10,0.19377557933330536
1670871424.0404046,11,0.2170475423336029
1670871769.3288257,12,0.2170306295156479
1670872114.5646453,13,0.21046844124794006
1670872459.7987375,14,0.2045692801475525
1670872804.9136848,15,0.2186938226222992
1670873149.8444695,16,0.2199522852897644
1670873494.912229,17,0.21312250196933746
1670873839.9741948,18,0.20584015548229218
1670874185.3151119,19,0.20168231427669525
1670874530.575305,20,0.18720155954360962
1670874880.583878,21,0.19902433454990387
1670875225.8437278,22,0.1874580830335617
1670875571.001865,23,0.20034784078598022
1670875916.3433812,24,0.18504709005355835
1670876261.5950885,25,0.18854764103889465
1670876606.9071045,26,0.18450413644313812
1670876952.1610503,27,0.1839919090270996
1670877297.5015042,28,0.18354912102222443
1670877655.1144087,29,0.16463561356067657
1670878012.5956426,30,0.16551345586776733
1670878374.6597648,31,0.16345545649528503
1670878732.240575,32,0.16068214178085327
1670879089.8152525,33,0.1605490744113922
1670879447.2901883,34,0.15999215841293335
1670879804.8915129,35,0.15553979575634003
1670880162.4796624,36,0.16006292402744293
1670880520.1697593,37,0.1583186686038971
1670880877.9179444,38,0.1564953327178955
1670881235.5824282,39,0.1562725454568863
1670881592.9607484,40,0.1521812081336975
1670881954.7860792,41,0.15301647782325745
1670882312.4025898,42,0.14902086555957794
1670882670.0524817,43,0.15117879211902618
1670883027.4204068,44,0.15014290809631348
1670883385.1117094,45,0.15217947959899902
1670883742.529191,46,0.15072500705718994
1670884100.2852097,47,0.1526237428188324
1670884457.76823,48,0.15670736134052277
1670884833.2994616,49,0.1576104313135147
1670885208.9052114,50,0.1487303376197815
1670885588.8788319,51,0.1468452364206314
1670885964.4200459,52,0.15193168818950653
1670886339.98269,53,0.14972691237926483
1670886715.7431674,54,0.14669758081436157
1670887091.107937,55,0.14840732514858246
1670887466.4291131,56,0.14279480278491974
1670887841.5107732,57,0.1470956951379776
1670888216.8883574,58,0.15301112830638885
1670888592.3883228,59,0.15101729333400726
1670888967.8178012,60,0.14880195260047913
1670889355.3017123,61,0.15071873366832733
1670889730.5852273,62,0.1499808430671692
1670890105.8343432,63,0.14570245146751404
1670890481.3272989,64,0.14642022550106049
1670890856.65662,65,0.1448008418083191
1670891231.9929776,66,0.14966538548469543
1670891607.4643815,67,0.1469903588294983
1670891982.9402232,68,0.14382988214492798
1670892358.1991286,69,0.14485715329647064
1670892733.5273905,70,0.14583654701709747
1670893113.9821692,71,0.14747309684753418
1670893489.2974474,72,0.14085394144058228
1670893864.6839411,73,0.14848531782627106
1670894240.4454868,74,0.14715047180652618
1670894615.8580737,75,0.145117849111557
1670894991.3307133,76,0.143967404961586
1670895366.7223053,77,0.14313316345214844
1670895742.1894953,78,0.1465810090303421
1670896117.628733,79,0.1485144942998886
1670896492.9842072,80,0.14541548490524292
1670896873.5124502,81,0.1456327736377716
