,,p225,p226,p227,p228,p229,p230,p231,p232,p233,p236,p239,p240,p243,p244,p254,p256,p258,p259,p270,p273
PhoneReference,PESQ,"[3.6884942054748535, 4.066910743713379, 3.828371047973633, 3.8658432960510254, 3.776134729385376, 3.701674461364746]","[3.6005890369415283, 3.2223432064056396, 3.534553050994873, 3.173232078552246, 3.117553234100342, 3.4361371994018555, 3.431928873062134, 3.3528454303741455]","[3.4982094764709473, 3.4920806884765625, 3.3791606426239014, 3.4732959270477295, 3.58548903465271, 3.5550074577331543, 3.3877456188201904]","[3.9473087787628174, 4.044565200805664, 4.0531840324401855, 4.094630241394043, 4.128931522369385, 4.160727024078369, 4.0101423263549805, 4.083442687988281, 4.104712009429932]","[3.8074307441711426, 3.9933760166168213, 3.8354830741882324, 3.919689655303955, 3.755995512008667, 3.930211305618286, 4.081730365753174, 3.8433525562286377]","[4.084314823150635, 3.974924325942993, 4.01859188079834, 4.129181861877441, 4.002895832061768, 4.143674850463867, 4.171385288238525, 4.015043258666992]","[3.8956189155578613, 3.907926559448242, 3.7457683086395264, 3.9133832454681396, 3.670443296432495, 3.979522705078125, 3.6275839805603027]","[3.5544161796569824, 3.4990286827087402, 2.1037843227386475, 3.361264228820801, 3.52384614944458, 3.5489068031311035, 3.493065357208252]","[3.8082163333892822, 4.150923252105713, 2.3428549766540527, 3.858950138092041, 4.101701736450195, 4.15733003616333, 4.081308841705322]","[4.182112693786621, 4.1985321044921875, 3.988987922668457, 4.110613822937012, 4.234839916229248, 3.403061866760254, 3.7880232334136963, 3.555166482925415, 4.029670238494873]","[3.715247392654419, 3.8606197834014893, 3.771772623062134, 3.878354549407959, 3.7843899726867676, 3.9547762870788574, 3.8248450756073, 3.929246425628662, 3.5065062046051025]","[3.954740047454834, 3.8877391815185547, 3.842113733291626, 3.9109549522399902, 3.924560308456421, 3.777270793914795, 3.9870684146881104, 4.0004496574401855]","[3.4942665100097656, 3.5954501628875732, 3.5237531661987305, 3.6536471843719482, 3.5638620853424072, 3.692636013031006, 3.4226882457733154, 3.6900079250335693, 3.552834987640381]","[3.752347946166992, 3.9419853687286377, 4.098046779632568, 4.049294471740723, 3.8336398601531982, 4.010767459869385, 4.032104969024658]","[3.0541951656341553, 2.736236095428467, 3.003998279571533, 3.388486385345459, 3.093327522277832, 3.0646402835845947, 3.2371394634246826]","[3.469581365585327, 3.293520927429199, 3.537808895111084, 3.310269594192505, 3.554550886154175, 3.502629041671753, 3.5177969932556152]","[3.356397867202759, 3.307973623275757, 1.7463003396987915, 3.2772371768951416, 3.0984959602355957, 3.1599950790405273]","[2.022920608520508, 3.2631332874298096, 3.315568685531616, 3.3086459636688232, 3.244790554046631, 3.0816850662231445, 3.1079792976379395, 3.1862595081329346, 3.3067007064819336]","[2.355053186416626, 2.076911449432373, 2.51259446144104, 2.0936529636383057, 2.4383790493011475, 2.3193142414093018, 2.051025629043579, 2.1514389514923096, 2.6626827716827393, 2.258742094039917, 2.0142533779144287]","[3.127046823501587, 3.2957496643066406, 3.2803642749786377, 2.9738919734954834, 2.8918230533599854, 3.2453227043151855, 2.970069646835327]"
PhoneReference,MSE,"[1.8895018382352942, 1.4761932170943708, 1.9288108861502347, 1.7248779776522594, 1.743656463244417, 1.8412224764847638]","[1.7837796770453163, 1.6498490865251658, 1.6878149892769607, 1.6185512848432055, 1.9443627361918605, 1.5022373716606858, 1.7545021609042553, 1.7066825883999432]","[1.45081992909209, 1.4567580202792554, 1.8706080274290393, 1.5506574210474047, 1.57030189479638, 1.500105646306818, 1.3080971985571346]","[1.7216907698384831, 2.163302386022044, 1.8140500710227272, 1.708804257974585, 1.4068077540454276, 1.6726684080070282, 1.8747234109607218, 1.5089605192632536, 1.8534269570118158]","[1.6907113365667976, 1.6091968936011904, 1.6139827545032752, 2.214141015625, 1.8331253219436814, 1.7641210057713963, 1.7712296875, 2.0687383855430825]","[1.5991737311613474, 1.638281016930191, 1.7791097005208334, 1.6480668555160412, 1.8182125507540603, 1.551645945079291, 1.9599361651598532, 1.6266132106551205]","[1.7669644604645094, 1.8290236404806581, 1.684171943832599, 1.5773268074824893, 1.722730505601415, 1.516880265550772, 1.448753467504529]","[1.7116058659957627, 1.8038054704157782, 1.7007478675063776, 2.0680267160916825, 1.6344497200363197, 1.8664288024237472, 1.8459492090329601]","[1.8457839366129913, 1.9285009240591398, 1.6170319994004796, 1.8385914872332316, 1.7539777454242929, 1.8375619283536586, 1.8701862121730535]","[1.7789680673543689, 1.786212741845624, 1.7587381998697917, 1.701900972406915, 1.6501139322916667, 1.9857193515327947, 1.8905012589679913, 1.705562831716691, 1.8207120139105362]","[2.231443964188856, 2.0539874967981557, 2.2620603063423643, 1.920011103130863, 2.240151471418309, 2.0738102142467247, 1.836294917945171, 2.1729086779673166, 2.0265336157570424]","[1.9609145323720827, 1.9624009136375522, 1.7471310004102845, 2.030822463890389, 2.0803546348314605, 2.111962367839936, 2.249156230614144, 1.9616404079861112]","[1.7729329427083333, 1.531194327765429, 1.8600433423501816, 1.5770395132211539, 1.5330966777764188, 1.5492666611649062, 1.4404052734375, 1.4505225548377403, 1.7372321603687237]","[1.631279506888441, 2.011728467636671, 1.6041639350233101, 1.7630529995622306, 1.5591825810185185, 1.7636323033915877, 1.5006107255196937]","[2.2444340448181292, 2.3037849638650965, 2.131029700337441, 2.084651618047592, 2.0620855783045977, 2.1721706442636988, 2.1553276909722223]","[1.8565449089403974, 1.8974793859086243, 1.7707744069343065, 1.9870279555722892, 1.8728435008208255, 1.8577484421502977, 1.8967969912574405]","[1.5817801976312786, 1.7320507137456798, 1.616357858620304, 1.4647805606617648, 1.6796129769475359, 1.6515891851380815]","[1.7306975880308015, 1.8896628593090716, 1.7221272406176986, 1.7682045865221088, 1.8430552808544305, 1.849753649048354, 1.717185561414392, 1.9022107758033768, 1.7924736053589359]","[1.632459873540856, 1.8787169888488249, 2.0359425264246322, 2.0277879358747044, 1.963778569148137, 2.1134013464095744, 2.19218497983871, 1.8014214154411765, 1.7985047207819507, 1.8260326965788654, 1.9463806352459017]","[1.7120123240573346, 1.8439836183414045, 1.8044933757950774, 1.7158666112401464, 1.8091482162475585, 1.5334137292454104, 1.7522958628881156]"
StarganPhoneDW,PESQ,"[1.2546098232269287, 1.320444941520691, 1.3317961692810059, 1.4108526706695557, 1.4227479696273804, 1.1657507419586182]","[1.0657674074172974, 1.090895414352417, 1.0801715850830078, 1.060229778289795, 1.0636322498321533, 1.0704725980758667, 1.079590916633606, 1.089019536972046]","[1.0705043077468872, 1.0710070133209229, 1.093813180923462, 1.0794841051101685, 1.0950520038604736, 1.0624698400497437, 1.0817346572875977]","[1.261488914489746, 1.3171478509902954, 1.2758996486663818, 1.2311567068099976, 1.2577643394470215, 1.4390337467193604, 1.3603346347808838, 1.3321130275726318, 1.3151575326919556]","[1.2374571561813354, 1.2465900182724, 1.2435812950134277, 1.2351353168487549, 1.361222505569458, 1.2327629327774048, 1.217753529548645, 1.3469555377960205]","[1.1400461196899414, 1.2076128721237183, 1.2047117948532104, 1.1524451971054077, 1.1382172107696533, 1.1885451078414917, 1.1209533214569092, 1.2213311195373535]","[1.0728518962860107, 1.0632178783416748, 1.08892023563385, 1.085731863975525, 1.0941342115402222, 1.0882771015167236, 1.0635812282562256]","[1.0908255577087402, 1.0608839988708496, 1.0461578369140625, 1.0608940124511719, 1.068249225616455, 1.0615943670272827, 1.0696004629135132]","[1.0669817924499512, 1.0770349502563477, 1.0541808605194092, 1.0667468309402466, 1.0921558141708374, 1.0668965578079224, 1.075711965560913]","[1.2656688690185547, 1.3377492427825928, 1.280486822128296, 1.13429594039917, 1.3228670358657837, 1.2137781381607056, 1.4192605018615723, 1.2309386730194092, 1.34224534034729]","[1.027214765548706, 1.0246177911758423, 1.0335924625396729, 1.026739239692688, 1.027969479560852, 1.0286136865615845, 1.027903437614441, 1.0322197675704956, 1.0292105674743652]","[1.0323925018310547, 1.0376993417739868, 1.0285409688949585, 1.026314377784729, 1.0295205116271973, 1.0259878635406494, 1.0302777290344238, 1.0362370014190674]","[1.3186655044555664, 1.190255045890808, 1.286077618598938, 1.2277268171310425, 1.2596080303192139, 1.2337350845336914, 1.268585443496704, 1.239291787147522, 1.2582379579544067]","[1.0311840772628784, 1.034986138343811, 1.0361627340316772, 1.0268274545669556, 1.0295158624649048, 1.0380094051361084, 1.037376046180725]","[1.3877226114273071, 1.3112581968307495, 1.365013837814331, 1.2851519584655762, 1.3324880599975586, 1.2714130878448486, 1.3756736516952515]","[1.4376583099365234, 1.3960014581680298, 1.2801200151443481, 1.3479645252227783, 1.4047465324401855, 1.302918553352356, 1.3814798593521118]","[1.2882721424102783, 1.1776896715164185, 1.1113522052764893, 1.2049983739852905, 1.2060160636901855, 1.3167957067489624]","[1.1429041624069214, 1.2416083812713623, 1.1863805055618286, 1.2220150232315063, 1.1975153684616089, 1.303788661956787, 1.2199323177337646, 1.2467201948165894, 1.230912208557129]","[1.1791930198669434, 1.141139030456543, 1.1848138570785522, 1.1375333070755005, 1.1240748167037964, 1.1714670658111572, 1.1644731760025024, 1.1497119665145874, 1.1880314350128174, 1.1635245084762573, 1.1562438011169434]","[1.140234112739563, 1.1671524047851562, 1.1629785299301147, 1.2448554039001465, 1.1568562984466553, 1.1222097873687744, 1.1170318126678467]"
StarganPhoneDW,MSE,"[0.27062603400735297, 0.1669987086955022, 0.31068863129951585, 0.18160592249662327, 0.21522518186356235, 0.30570050139925375]","[0.30840289262089415, 0.2511460327417908, 0.23745158971959046, 0.2671214459249782, 0.2989649005268895, 0.28174390777636565, 0.25613096845910904, 0.25142329555520126]","[0.24884732358725462, 0.20997704039228723, 0.36972477675525384, 0.25952125210590643, 0.233747028333569, 0.22697342853156888, 0.20616462158769577]","[0.18819290675474018, 0.38775468417303355, 0.2686493351483586, 0.17583632093247537, 0.16578654744562796, 0.186920166015625, 0.25740870902998936, 0.1589487182870972, 0.21419064346237562]","[0.21916810880709725, 0.1778811928212218, 0.19858975472929175, 0.37848809217502494, 0.23141472785027473, 0.24340710586376405, 0.24013247918226047, 0.3375851240920097]","[0.21260938712045657, 0.21187729573761932, 0.2926964824517916, 0.20194914958667523, 0.2874995751613254, 0.20963239527460353, 0.2722967951552673, 0.2479330407567771]","[0.3609682596799974, 0.42232082446232677, 0.3503031592011977, 0.2868736611643145, 0.3516863898511203, 0.33292218930930817, 0.3484908099335749]","[0.2317381157309322, 0.26017993528451494, 0.2414682177817275, 0.31301043389650285, 0.2266449048501816, 0.2892396482247413, 0.2528850194826648]","[0.25905791036947323, 0.2824749252702173, 0.2318446170797737, 0.2660696038967226, 0.2869671356658174, 0.30179690966499745, 0.372129832915146]","[0.2836040607933859, 0.23071926123126013, 0.196758694902028, 0.2610653102144282, 0.20785592302161068, 0.30272880525190116, 0.2802485653369895, 0.2748172698572474, 0.24897485290679552]","[0.38265477167313855, 0.3402251385959867, 0.3832131071043719, 0.2875274371921904, 0.3718466171490148, 0.3215489016870224, 0.29703354403766347, 0.3667705893789331, 0.3005871164486921]","[0.32152071118996856, 0.32315071137879187, 0.2898599102930115, 0.4400818266569924, 0.43287715611832867, 0.4376885162941649, 0.46638229029350187, 0.34119596354166665]","[0.24570518663194443, 0.17934922733067468, 0.288726052937727, 0.1774687714629121, 0.16480110900042808, 0.22605426054045627, 0.1641457005550987, 0.16543864517760792, 0.27269103237774583]","[0.373902837281586, 0.47909298458614863, 0.3303952517209353, 0.4397876501596102, 0.31309449749228396, 0.32640479209863743, 0.2732877301439415]","[0.29333921789297057, 0.38421968055741434, 0.23110540685519365, 0.18622842958917335, 0.2488610980154454, 0.25758003687749714, 0.21676504301872335]","[0.14656761455746412, 0.18671960223626796, 0.13179209911040146, 0.19899499364646084, 0.2019729814654667, 0.1703551376234041, 0.12857696460714815]","[0.14410241531999143, 0.17812771423621113, 0.16609142214752906, 0.12353136648539624, 0.20402018876068165, 0.1734238167696221]","[0.17101675517251047, 0.23540469141449102, 0.17534320537860576, 0.1681736260584963, 0.21334122927380011, 0.2254258144048997, 0.17767644460976273, 0.2185323877272263, 0.25674340428118725]","[0.16647056253039882, 0.22162994840251865, 0.27667889956448655, 0.2244521120761303, 0.24774573895571042, 0.313682549659242, 0.4204851835517473, 0.20554347139246323, 0.23978219481327073, 0.21141214346945136, 0.3362037333504098]","[0.19012166760631444, 0.22615483540310988, 0.25575697606236203, 0.20631846910112359, 0.24717011033442982, 0.21795343188951133, 0.2090523370583512]"
StarganPhone,PESQ,"[1.4095295667648315, 1.2005611658096313, 1.5320507287979126, 1.425868272781372, 1.4605425596237183, 1.2317646741867065]","[1.0607258081436157, 1.070565104484558, 1.0728907585144043, 1.0523914098739624, 1.0606235265731812, 1.0740172863006592, 1.0827891826629639, 1.0983269214630127]","[1.0501031875610352, 1.06211256980896, 1.0648959875106812, 1.0805721282958984, 1.0834163427352905, 1.0618692636489868, 1.071146845817566]","[1.4136685132980347, 1.1120131015777588, 1.5815372467041016, 1.4019298553466797, 1.1292808055877686, 1.469705581665039, 1.3844081163406372, 1.468854308128357, 1.2692166566848755]","[1.6553406715393066, 1.5593440532684326, 1.4521512985229492, 1.5286169052124023, 1.4150010347366333, 1.5506154298782349, 1.5569438934326172, 1.4125620126724243]","[1.3491339683532715, 1.3968874216079712, 1.4032511711120605, 1.275649070739746, 1.2105659246444702, 1.2812014818191528, 1.3775851726531982, 1.2764558792114258]","[1.08240807056427, 1.0850919485092163, 1.0815961360931396, 1.1332341432571411, 1.116584300994873, 1.1986045837402344, 1.0663198232650757]","[1.0784705877304077, 1.0544719696044922, 1.0529571771621704, 1.0612189769744873, 1.0649937391281128, 1.0594197511672974, 1.0511410236358643]","[1.5937381982803345, 1.4155957698822021, 1.4010441303253174, 1.5899927616119385, 1.6821396350860596, 1.2855037450790405, 1.4380431175231934]","[1.1588345766067505, 1.306382179260254, 1.177718997001648, 1.1835581064224243, 1.1111845970153809, 1.302079200744629, 1.2984615564346313, 1.2131257057189941, 1.353437900543213]","[1.0341143608093262, 1.046519160270691, 1.0494474172592163, 1.0478367805480957, 1.032691478729248, 1.0386335849761963, 1.052903652191162, 1.0460432767868042, 1.0446033477783203]","[1.0414437055587769, 1.0370676517486572, 1.031550407409668, 1.0346534252166748, 1.0420451164245605, 1.0400516986846924, 1.0336875915527344, 1.0466924905776978]","[1.1716749668121338, 1.1127519607543945, 1.1392862796783447, 1.121960163116455, 1.1538240909576416, 1.1743950843811035, 1.1160242557525635, 1.1369255781173706, 1.2240961790084839]","[1.0348023176193237, 1.0543688535690308, 1.0561758279800415, 1.0306886434555054, 1.0424195528030396, 1.046234130859375, 1.0540448427200317]","[1.3078622817993164, 1.3613721132278442, 1.3156710863113403, 1.2792551517486572, 1.297623634338379, 1.2123520374298096, 1.3377174139022827]","[1.3394795656204224, 1.338724136352539, 1.20059072971344, 1.2965415716171265, 1.325268268585205, 1.3134377002716064, 1.3556323051452637]","[1.286933183670044, 1.3187952041625977, 1.3342899084091187, 1.2946746349334717, 1.2650834321975708, 1.2998794317245483]","[1.213977575302124, 1.1888338327407837, 1.125458002090454, 1.1388366222381592, 1.1481307744979858, 1.1817011833190918, 1.1454870700836182, 1.1316136121749878, 1.181004524230957]","[1.190798044204712, 1.1567654609680176, 1.1246039867401123, 1.1094024181365967, 1.149855613708496, 1.1036145687103271, 1.0845868587493896, 1.184511423110962, 1.1569173336029053, 1.0955156087875366, 1.0962741374969482]","[1.1467230319976807, 1.2367615699768066, 1.2250229120254517, 1.4121308326721191, 1.2036842107772827, 1.2048826217651367, 1.1896488666534424]"
StarganPhone,MSE,"[0.22055787568933824, 0.1710090822468267, 0.25498797636076875, 0.16047918473339268, 0.18872889667823356, 0.26644013817630596]","[0.3104241215689629, 0.2564881853183637, 0.23559473312862927, 0.26273648464721255, 0.28356981854106106, 0.28054121342952554, 0.26743397814162234, 0.24944246253188776]","[0.3191505484988453, 0.24131085334940158, 0.3976555836773335, 0.2948344643977933, 0.25748293777396775, 0.2874726518211451, 0.2391881956025232]","[0.18776501602001405, 0.4606040694670591, 0.23936535767834596, 0.17183717593117867, 0.20199689344102584, 0.20064312425483183, 0.2594410890226911, 0.16489014179443867, 0.2236729256549285]","[0.21515149189587426, 0.18755249603343974, 0.18610098892944868, 0.41802362072729543, 0.2382286658653846, 0.2472558045119382, 0.24013230862493762, 0.38951430794113195]","[0.16718849560893173, 0.1913532411852998, 0.2570328526736871, 0.17616987990409352, 0.26677594461463167, 0.17500160938471704, 0.2424389597254979, 0.22914764036615212]","[0.3410581075075026, 0.39272500405961314, 0.3137963920962968, 0.23948677965389786, 0.3407081460053066, 0.2710054302442102, 0.29345591079785627]","[0.26922628111758473, 0.2832362843983209, 0.2650789581454266, 0.32779342564833414, 0.2603452077500757, 0.2944740710954521, 0.28546428016169156]","[0.17570775460988675, 0.19798680240535393, 0.14402386781980667, 0.1795007175352515, 0.19851425602511438, 0.22831897542152638, 0.2736741560218978]","[0.2935394227851942, 0.2349595723700871, 0.1949129241168086, 0.25805677048703457, 0.215731249757074, 0.2726833329001307, 0.27375135274386037, 0.25769377187614384, 0.23724674215340555]","[0.39639707185342704, 0.3091064453125, 0.3880022020762777, 0.26429496035119604, 0.40506052602883824, 0.31594963240311136, 0.27791087344378773, 0.39204017761370136, 0.2960334516866826]","[0.31925425777743494, 0.3098645836738363, 0.2951017751213758, 0.4232641496102187, 0.4286503961113062, 0.42684164108505085, 0.4631659041563275, 0.3294478352864583]","[0.24432356770833333, 0.1984767259414226, 0.29706859819536924, 0.20576339554000686, 0.1862937852594484, 0.2603229648070716, 0.18003977416497977, 0.21135843766393136, 0.2803849351954759]","[0.3731240024361559, 0.43340470597550673, 0.29794017018138114, 0.43238168367775537, 0.3018894675925926, 0.30856930701088564, 0.25353213253897705]","[0.3123081268944861, 0.40846051822637847, 0.24458431906543426, 0.18014267980370424, 0.2778707289421695, 0.2623614306863584, 0.24009187287613273]","[0.17251937226217579, 0.2350288657437115, 0.14694190106542732, 0.20693094644201807, 0.24732093453183632, 0.17044628442324822, 0.14636675546967784]","[0.144151131965254, 0.1765962380967382, 0.1502193553289915, 0.11890962222562636, 0.22151919123857314, 0.1841469840116279]","[0.15914148942135167, 0.21959326377900845, 0.18194836169689685, 0.16262887967687076, 0.20476824925418644, 0.24400961291152262, 0.17431932927361196, 0.21600884331597223, 0.2648090408509036]","[0.20429288515321012, 0.27113437937266793, 0.33686308545996335, 0.304399119708555, 0.29749474834195144, 0.37201265375664894, 0.49493741599462365, 0.26515771484375, 0.2781379733919563, 0.25721502518118766, 0.37563504578637297]","[0.19853808845441365, 0.23480316236001816, 0.26872410384761314, 0.20962721921084973, 0.25129689593993665, 0.18263680311825053, 0.20594865361934556]"
StarganOrg,PESQ,"[1.3761558532714844, 1.107975721359253, 1.2992674112319946, 1.364258050918579, 1.4614113569259644, 1.371946096420288]","[1.0711188316345215, 1.0772978067398071, 1.0787091255187988, 1.0553511381149292, 1.0613415241241455, 1.0745577812194824, 1.080203890800476, 1.0927668809890747]","[1.0806453227996826, 1.1047545671463013, 1.099929928779602, 1.0924865007400513, 1.107945203781128, 1.082863211631775, 1.0978821516036987]","[1.441466212272644, 1.1005998849868774, 1.44662344455719, 1.373703122138977, 1.1411514282226562, 1.4948285818099976, 1.4535300731658936, 1.3884022235870361, 1.3847672939300537]","[1.8440873622894287, 1.8637354373931885, 1.6866954565048218, 1.5639746189117432, 1.5241482257843018, 1.6120588779449463, 1.6064529418945312, 1.434777855873108]","[1.497755765914917, 1.4012113809585571, 1.5944386720657349, 1.5481656789779663, 1.3845338821411133, 1.5202641487121582, 1.6377067565917969, 1.501157283782959]","[1.1389846801757812, 1.1984782218933105, 1.1792389154434204, 1.314806580543518, 1.201653003692627, 1.160333514213562, 1.0925768613815308]","[1.0783308744430542, 1.068943738937378, 1.059618353843689, 1.064312219619751, 1.0712612867355347, 1.0599864721298218, 1.0600850582122803]","[1.5290731191635132, 1.6194987297058105, 1.2778847217559814, 1.345393180847168, 1.3401997089385986, 1.606212854385376, 1.301269292831421]","[1.1383333206176758, 1.225954532623291, 1.1542446613311768, 1.1503359079360962, 1.0959584712982178, 1.3045978546142578, 1.1928646564483643, 1.2177437543869019, 1.241300344467163]","[1.036238431930542, 1.0407989025115967, 1.0560755729675293, 1.0388751029968262, 1.0309170484542847, 1.0394624471664429, 1.0382403135299683, 1.042720079421997, 1.0358020067214966]","[1.0423134565353394, 1.0389920473098755, 1.032720685005188, 1.0320683717727661, 1.0386494398117065, 1.0348310470581055, 1.0384881496429443, 1.0407004356384277]","[1.2303433418273926, 1.1663371324539185, 1.1946743726730347, 1.1511945724487305, 1.1703532934188843, 1.193451166152954, 1.1405164003372192, 1.1492137908935547, 1.1972359418869019]","[1.033840537071228, 1.0556361675262451, 1.0418387651443481, 1.031772255897522, 1.037040114402771, 1.043788194656372, 1.0435506105422974]","[1.4558569192886353, 1.4551045894622803, 1.3800331354141235, 1.4036839008331299, 1.3953802585601807, 1.3178099393844604, 1.5349012613296509]","[1.5479087829589844, 1.4637680053710938, 1.3646149635314941, 1.4351438283920288, 1.3979169130325317, 1.3302538394927979, 1.3553322553634644]","[1.2468852996826172, 1.2752140760421753, 1.25303053855896, 1.321234941482544, 1.231661081314087, 1.2558180093765259]","[1.1822906732559204, 1.2110893726348877, 1.1279107332229614, 1.1869266033172607, 1.1284480094909668, 1.2216980457305908, 1.1417171955108643, 1.1623103618621826, 1.149254560470581]","[1.2420402765274048, 1.1716082096099854, 1.2447988986968994, 1.1294176578521729, 1.1827373504638672, 1.2234004735946655, 1.1681398153305054, 1.2308971881866455, 1.1985530853271484, 1.190077781677246, 1.1649081707000732]","[1.1761771440505981, 1.2328815460205078, 1.3061628341674805, 1.319331169128418, 1.1766841411590576, 1.1483185291290283, 1.2013392448425293]"
StarganOrg,MSE,"[0.4735197610294118, 0.3313350989065949, 0.570226191131162, 0.3673835799361493, 0.4240945593594913, 0.4746353073499689]","[0.386511972988899, 0.35831296133416113, 0.3417357204595813, 0.3504227801067073, 0.4149912847474564, 0.35287879566636765, 0.3937257937167553, 0.3432154372165533]","[0.40115391685010104, 0.34577309466422873, 0.6049672489082969, 0.44623166622621563, 0.4098396957190328, 0.40137294501133786, 0.38147125598172854]","[0.32286376953125, 0.7230229012712925, 0.38808618410669193, 0.3210470492414419, 0.28951732064652613, 0.35581530222452307, 0.48622766968550957, 0.2741904784141112, 0.3902791948460821]","[0.4076985357318271, 0.34132654185532957, 0.3806720050661845, 0.6917838151821357, 0.4323937496422848, 0.400215392380618, 0.3511695846588074, 0.6635516372200363]","[0.3090423223256501, 0.3190328302133055, 0.41955069577407, 0.30132749248070523, 0.3969978350221143, 0.3144628724055504, 0.4184308769817872, 0.37278226185993973]","[0.438792671092119, 0.491871132090791, 0.4020962752959802, 0.3261543651293683, 0.43489727668042455, 0.34572675618876186, 0.3163557117112017]","[0.3815032855534958, 0.40890941497867805, 0.3877947925509338, 0.4941915760869565, 0.3846531015908747, 0.4529441550925926, 0.41501929439715485]","[0.39448348799126637, 0.37063338303651433, 0.29411580110911273, 0.37817222036966464, 0.4089151138077163, 0.364332045115999, 0.48241854850973237]","[0.4514797766231796, 0.4192702134192666, 0.38422538633985276, 0.3784619140625, 0.3982431895697295, 0.46831555964828897, 0.4941251034768212, 0.3776242078834187, 0.4594070244311097]","[0.6658880169810157, 0.5249583113656697, 0.6560174650746613, 0.4636509879221388, 0.6422506398168103, 0.520231741692822, 0.48755919304891854, 0.6126136343320938, 0.5004438741825956]","[0.5214377822739004, 0.5010443906903765, 0.4679575847066466, 0.5775254053894439, 0.5768890449438202, 0.5992050007528105, 0.6850790700604839, 0.4781050889756944]","[0.5435118272569445, 0.42778989400823747, 0.6513563105326876, 0.436542485834478, 0.3934050259524829, 0.48004955596207455, 0.41492588799974695, 0.3713041968768735, 0.6010298852641214]","[0.6010863470262097, 0.7915680906403563, 0.6673493498688812, 0.6570642221102151, 0.5453422791280864, 0.6473676202421504, 0.635611088792396]","[0.624692089618216, 0.7845217457675321, 0.4978354583883509, 0.3854731300057208, 0.4724726113505747, 0.5145558535780537, 0.5754175897854478]","[0.32267268772419977, 0.4148051487102156, 0.23354627326167124, 0.39001350127070783, 0.4215117205821998, 0.30255382111972984, 0.2683321773864311]","[0.33633601219142406, 0.38028423819124424, 0.34018419296455726, 0.28486817470043574, 0.3786476317194952, 0.3892566769622093]","[0.32798675099058017, 0.38712966854562236, 0.34745627094259907, 0.3389209427260488, 0.4008408944818038, 0.35416159296231997, 0.3266587628915943, 0.41614168453839867, 0.38920687633345885]","[0.3108088274410263, 0.4056420429937367, 0.5572722866366137, 0.4935818719525709, 0.5140244445068944, 0.6581533099235373, 0.7340815062163979, 0.448853515625, 0.40470745274838843, 0.4354588382559227, 0.5830704085553279]","[0.3725538116140464, 0.42907608438634987, 0.4895956212058499, 0.42884672357794945, 0.4195820769371345, 0.29043664788066953, 0.389548559413477]"
