,,p225,p226,p227,p228,p229,p230,p231,p232,p233,p236,p239,p240,p243,p244,p254,p256,p258,p259,p270,p273
StarganOrg,PESQ,"[1.729088544845581, 1.2184704542160034, 2.376189708709717, 1.0372012853622437, 3.164214849472046, 2.2957241535186768]","[2.0542385578155518, 1.5266566276550293, 1.3064855337142944, 1.5410202741622925, 1.0594513416290283, 1.2486737966537476, 1.3817288875579834, 2.7731926441192627]","[1.097947120666504, 2.196916103363037, 2.1269218921661377, 1.1902912855148315, 3.446794033050537, 1.1318871974945068, 1.1910964250564575]","[1.106468915939331, 1.0637671947479248, 1.6287868022918701, 1.711320161819458, 2.661369800567627, 1.4965286254882812, 2.899219512939453, 1.1484951972961426, 1.1611673831939697]","[1.6150116920471191, 1.725111722946167, 1.0924944877624512, 1.6952776908874512, 1.1028798818588257, 2.4236176013946533, 1.0518075227737427, 1.1001588106155396]","[2.0098302364349365, 1.375633716583252, 1.4185868501663208, 1.1198197603225708, 1.1454336643218994, 1.1602847576141357, 1.7676810026168823, 2.445887565612793]","[1.063796043395996, 2.3905744552612305, 1.8661837577819824, 2.8103692531585693, 2.5461885929107666, 1.4654031991958618, 3.04673171043396]","[1.6939795017242432, 1.6667015552520752, 3.3772075176239014, 2.0324361324310303, 1.043287992477417, 1.845879077911377, 2.6893084049224854]","[1.0988489389419556, 1.9634311199188232, 1.393905758857727, 2.015446424484253, 1.8822296857833862, 1.1404331922531128, 1.1027380228042603]","[3.523869037628174, 1.0566632747650146, 2.0049009323120117, 2.043764352798462, 1.0764368772506714, 1.1605128049850464, 1.2299578189849854, 2.716876745223999, 1.9250705242156982]","[1.5628056526184082, 1.0599366426467896, 1.2170765399932861, 1.0887608528137207, 1.6991593837738037, 1.6668514013290405, 1.907942771911621, 1.6489372253417969, 1.0353283882141113]","[1.8304123878479004, 1.4406455755233765, 1.8866205215454102, 2.1907095909118652, 1.2816038131713867, 1.8368160724639893, 1.0817710161209106, 1.2519094944000244]","[2.4979183673858643, 1.0525860786437988, 1.2058310508728027, 1.9242713451385498, 1.2771403789520264, 2.454308032989502, 1.198722004890442, 1.23619544506073, 2.1337554454803467]","[1.1102874279022217, 1.1173902750015259, 1.3574557304382324, 1.6520905494689941, 1.08657705783844, 1.730364203453064, 2.5001699924468994]","[2.0774967670440674, 1.9106881618499756, 1.9985544681549072, 1.0914084911346436, 1.453451156616211, 2.0214104652404785, 1.1225193738937378]","[1.5407097339630127, 1.0902009010314941, 1.3632957935333252, 1.3909286260604858, 2.9179000854492188, 1.1620228290557861, 1.2649214267730713]","[1.8463571071624756, 2.1403400897979736, 2.5982236862182617, 2.533247709274292, 2.3735766410827637, 1.0860627889633179]","[2.581953287124634, 2.4666085243225098, 1.7374765872955322, 2.1053202152252197, 1.4934872388839722, 1.170062780380249, 1.5455282926559448, 2.255110025405884, 1.0831378698349]","[1.33769690990448, 1.9965966939926147, 1.7832192182540894, 3.1207547187805176, 1.0738511085510254, 2.0367789268493652, 2.5735089778900146, 2.370041608810425, 1.1960926055908203, 1.1084928512573242, 1.8417296409606934]","[1.5956908464431763, 2.9056451320648193, 1.9004848003387451, 1.1438757181167603, 2.618731737136841, 1.079593539237976, 1.898191213607788]"
StarganOrg,MSE,"[0.3517990291819853, 0.36527385047419153, 0.292359981274558, 0.25213016737375826, 0.3108648939109026, 0.4369119133747799]","[0.3692635034434887, 0.44612741869549416, 0.4166523211773875, 0.3560807430948197, 0.3666008079815121, 0.4243882459275266, 0.36191926640447847, 0.35937620707486045]","[0.37111338964224366, 0.3336714210423753, 0.3253108141328666, 0.47568359375, 0.30098625020777925, 0.341471317343043, 0.3540235054741879]","[0.2846682297079127, 0.36858347423041044, 0.3141281951017894, 0.28789199543594074, 0.34035436178306977, 0.31750452620259834, 0.6930170888652305, 0.3703234986584596, 0.4764829340001327]","[0.34139365892731743, 0.5477488382609781, 0.3144037852030314, 0.34282991600411344, 0.36420681572659114, 0.5300317205470642, 0.34392702860603164, 0.32381716476766625]","[0.30117314594998484, 0.31894714792474643, 0.41660117863109275, 0.3088142268764775, 0.37072903920368977, 0.4180154946492068, 0.39676677942829175, 0.3147077114427861]","[0.46164472471992923, 0.5246430923426675, 0.4285466534450716, 0.3611919049695665, 0.33632975260416664, 0.461393721865214, 0.32361933758869266]","[0.38760810165534804, 0.5163738056031427, 0.4237683391774387, 0.42709872876826804, 0.391915930500908, 0.4731233617578976, 0.3962658070709746]","[0.3276394751764113, 0.2662864630170863, 0.3098711413871951, 0.34579043992221614, 0.3440798374508747, 0.3124422552581635, 0.38651553708561437]","[0.5205222561396248, 0.403717921622357, 0.3934198387632979, 0.5022334225730751, 0.45345456614077667, 0.3990710815711605, 0.43426855943577797, 0.46758457859258107, 0.3838817144033675]","[0.7975327765804597, 0.5095950704225352, 0.46744858847326454, 0.5870747262213428, 0.5394601004464286, 0.8068399342794625, 0.5743004297673824, 0.7084117339459383, 0.830821851908867]","[0.5647632378472223, 0.6689862403441011, 0.5550766438121078, 0.5841561938958707, 0.6574678556965443, 0.6926012320998394, 0.5243086065713894, 0.7103338729063275]","[0.6665631975446429, 0.44388172862293956, 0.6163768305439331, 0.41957844722608806, 0.49515042730340375, 0.5557345920138889, 0.37318847070780875, 0.3947956241973459, 0.4374830940278504]","[0.5018293969425154, 0.5791934433803764, 0.6453707181490385, 0.5409604964717742, 0.6013732620890107, 0.6413362131598742, 0.6846544120469902]","[0.35534151625359195, 0.43711983816964284, 0.38947046009917236, 0.6048491974203694, 0.4718358698397806, 0.2971843937714531, 0.3671693900381455]","[0.41361886089097794, 0.2697135146043646, 0.23258770945008364, 0.3897178557981928, 0.32209779853062914, 0.41938449079502815, 0.30433845429409145]","[0.38110767839141707, 0.3373781526469749, 0.3901455475563227, 0.2842236487694036, 0.3423030628074687, 0.38004994597078695]","[0.30607563536844135, 0.3527344007532305, 0.33755951571565135, 0.2996292333283493, 0.28542940882831885, 0.3292365506949674, 0.35976381655092593, 0.30683209612652973, 0.2918159467563067]","[0.5944480344082447, 0.5252997736476162, 0.3074520600908925, 0.40705755974264707, 0.6322663600470431, 0.4306586948692376, 0.5358255955430328, 0.39888127758898545, 0.40889487706514965, 0.47536793807141786, 0.3825787184335021]","[0.4303097492537768, 0.49794048789321194, 0.2912499578158747, 0.4404392639603511, 0.37854909995167524, 0.43497015449438203, 0.39775035131156317]"
StarganPhone,PESQ,"[2.024247169494629, 1.1590529680252075, 1.9616224765777588, 1.0354982614517212, 2.5710630416870117, 1.882097840309143]","[1.4744226932525635, 1.263944149017334, 1.2979414463043213, 1.15403151512146, 1.0384526252746582, 2.4936683177948, 1.154975175857544, 1.7861156463623047]","[1.1311415433883667, 1.7684719562530518, 2.668224334716797, 1.1574134826660156, 3.48189115524292, 1.6013762950897217, 2.1812503337860107]","[1.2381694316864014, 1.0879733562469482, 1.6375166177749634, 1.272273302078247, 2.0457425117492676, 1.0742775201797485, 2.0466537475585938, 1.426575779914856, 1.2635440826416016]","[1.83711838722229, 1.759528636932373, 1.4384994506835938, 1.4981118440628052, 1.0554243326187134, 1.135812520980835, 1.0432709455490112, 1.0671803951263428]","[2.4178249835968018, 1.2325763702392578, 1.1955225467681885, 1.938260793685913, 1.1742064952850342, 1.132582187652588, 2.1114020347595215, 2.2557151317596436]","[1.096796989440918, 1.1535108089447021, 1.9253010749816895, 1.839900255203247, 2.1025757789611816, 1.2266840934753418, 3.0335400104522705]","[1.661373496055603, 1.6583914756774902, 2.763890266418457, 1.2030717134475708, 1.043470859527588, 1.3764736652374268, 1.9926236867904663]","[1.066124439239502, 1.3358044624328613, 1.2486966848373413, 2.3185815811157227, 1.57071852684021, 1.3542240858078003, 1.0532985925674438]","[2.001445770263672, 1.067035436630249, 2.522918224334717, 2.152374267578125, 1.100663423538208, 1.3262711763381958, 1.2624253034591675, 2.5532689094543457, 2.4970688819885254]","[1.8129749298095703, 1.0807267427444458, 1.173835277557373, 1.1984484195709229, 1.5921144485473633, 1.1515315771102905, 1.7198034524917603, 2.859766721725464, 1.0565407276153564]","[3.187908887863159, 1.2061285972595215, 2.194561719894409, 2.7140214443206787, 2.1745917797088623, 2.5951128005981445, 2.7447609901428223, 1.3710535764694214]","[1.9472618103027344, 2.4425885677337646, 1.1321065425872803, 1.8548059463500977, 1.2439053058624268, 1.3812590837478638, 1.623896598815918, 1.2105662822723389, 2.000386953353882]","[1.3753368854522705, 1.0770665407180786, 1.9661695957183838, 1.6298173666000366, 1.2650498151779175, 1.8332531452178955, 1.9427170753479004]","[1.8665571212768555, 1.9215553998947144, 1.3221960067749023, 1.1194416284561157, 1.5418877601623535, 2.8230090141296387, 1.2799627780914307]","[1.733994960784912, 1.0919545888900757, 2.3688602447509766, 2.0098698139190674, 2.2458369731903076, 2.2031705379486084, 1.2138009071350098]","[1.979722023010254, 1.1343984603881836, 1.3016691207885742, 2.0028765201568604, 1.7458887100219727, 1.321058750152588]","[2.416304588317871, 1.6932047605514526, 1.9469361305236816, 1.5633124113082886, 1.3955146074295044, 1.5247505903244019, 1.6065219640731812, 1.580456018447876, 1.1361949443817139]","[2.3988218307495117, 2.202793598175049, 1.8645823001861572, 1.5328975915908813, 1.0649126768112183, 2.0137112140655518, 2.036780834197998, 2.195246458053589, 1.316803216934204, 1.0901007652282715, 2.1269919872283936]","[1.5238547325134277, 2.52843976020813, 2.781609296798706, 1.6763570308685303, 2.342395305633545, 1.1919935941696167, 2.1881275177001953]"
StarganPhone,MSE,"[0.17671594956341913, 0.22801671573771767, 0.1436123891054764, 0.15895676770747103, 0.16116342094932537, 0.2044601941892239]","[0.2650657946224412, 0.2928966433502907, 0.3159191567822384, 0.2358301288632717, 0.25368722406181016, 0.2691958423371011, 0.25039516457624716, 0.2737621641995614]","[0.27795141756408565, 0.2713711347169076, 0.29785779287853636, 0.3381301546721479, 0.23839521692154256, 0.24053469006292422, 0.24622649792452145]","[0.18649677629991834, 0.1950388135008551, 0.15517508479074818, 0.1584661091191853, 0.17820776514260164, 0.17258144421523877, 0.41785719877254507, 0.2172360075363005, 0.23863566858247082]","[0.20486277376667836, 0.3315092227654067, 0.1989116980881986, 0.1738071284266024, 0.20135028545673078, 0.311090841593523, 0.17485480829097297, 0.16378120186776277]","[0.17946648770902693, 0.19239490299634546, 0.24300160917845912, 0.16826689880226803, 0.22931268531155874, 0.25630299507658644, 0.2692762335049304, 0.17771696024273165]","[0.32963464125147407, 0.38839835856307736, 0.3042068279787307, 0.2659302627672209, 0.23163498088877688, 0.33459620465814194, 0.28080249731091483]","[0.28930753180045626, 0.3635719573340028, 0.3193458020305837, 0.3124264845207556, 0.2833961320558414, 0.3272230892139842, 0.29984062582759535]","[0.185910154499888, 0.15170340778158722, 0.16183124821360517, 0.16748068197325328, 0.2223668963140213, 0.17824806556130407, 0.24735726683679288]","[0.2832252755070364, 0.2161439354739972, 0.2471660467918883, 0.28847718909666115, 0.27752092972542475, 0.19997492343118506, 0.23502319929472246, 0.22928472885169887, 0.2560230350075494]","[0.5368999512520526, 0.3502470879967304, 0.3106347060785061, 0.4119323197410617, 0.3803987990442656, 0.522196331437993, 0.3990237370590491, 0.5156324303668478, 0.5183012262353757]","[0.32047303602430555, 0.4253926000702247, 0.309573045036284, 0.32046097870146995, 0.4267409124848137, 0.4244060116100107, 0.29282125059833153, 0.46889015368137404]","[0.3121275820974576, 0.2073902619190705, 0.2983074874558708, 0.18253328269309843, 0.2690312775088028, 0.25548619249131943, 0.2054349684315048, 0.18658360072544644, 0.20172569881423247]","[0.2812034927179784, 0.3741637527301747, 0.2783435030139132, 0.3309800539734543, 0.271750008099452, 0.26393329778959246, 0.36560061593020576]","[0.22510232859644397, 0.192214139438133, 0.20998889104416382, 0.33254948683418095, 0.25201977031610856, 0.15097744241186356, 0.1932139365326071]","[0.23431519306660678, 0.14614772479494506, 0.14670934375475214, 0.20475540344973645, 0.17332343297288907, 0.24883788146400093, 0.16942778018761134]","[0.17568124516219039, 0.14565347471193635, 0.18522917991460755, 0.11851450269778051, 0.15006199599591905, 0.22204201702851747]","[0.20522105527022247, 0.1758890530228112, 0.1870744407428468, 0.14325018339750298, 0.14861200299511476, 0.22648661050451807, 0.17909613715277778, 0.15697431230878497, 0.1395317233338648]","[0.2780319928108378, 0.2427221172304783, 0.15047483926617217, 0.18209232823988972, 0.3776655430947581, 0.20803796935025118, 0.2870099177126025, 0.19840082416619956, 0.18899769010091957, 0.20762276409341276, 0.19439153284914712]","[0.26513295907955653, 0.2868195590593957, 0.18168621022036988, 0.2555950174031477, 0.20677189463192655, 0.22616599093662218, 0.21644694881725107]"
StarganPhoneDW,PESQ,"[1.536674976348877, 1.134030818939209, 2.2631380558013916, 1.0328118801116943, 2.0744571685791016, 2.9737250804901123]","[1.5771946907043457, 1.616767406463623, 1.316430687904358, 1.760411262512207, 1.0376505851745605, 3.4064619541168213, 1.1600416898727417, 2.3078770637512207]","[1.1440091133117676, 1.7775285243988037, 2.061772108078003, 1.1431846618652344, 3.21199631690979, 2.045323610305786, 1.8033949136734009]","[1.1041518449783325, 1.1368049383163452, 1.2623783349990845, 1.5416511297225952, 1.7901852130889893, 1.0427911281585693, 2.395855665206909, 1.1346862316131592, 1.3479074239730835]","[2.376147985458374, 1.9687467813491821, 2.3292829990386963, 1.5473378896713257, 1.052600383758545, 2.2172672748565674, 1.0538403987884521, 1.0864167213439941]","[1.8519561290740967, 1.298229455947876, 1.200648307800293, 1.1317832469940186, 1.1546721458435059, 1.0955582857131958, 2.9219231605529785, 2.271981954574585]","[1.1908905506134033, 1.4622323513031006, 1.9922914505004883, 1.4952492713928223, 2.2627928256988525, 1.7535381317138672, 1.5247111320495605]","[1.2297449111938477, 2.078742742538452, 1.784224271774292, 1.3695144653320312, 1.0399119853973389, 1.4972107410430908, 1.517026662826538]","[1.091476321220398, 1.8389763832092285, 1.5879981517791748, 2.299722194671631, 1.4930685758590698, 1.1023024320602417, 1.061681866645813]","[2.2274742126464844, 1.0662003755569458, 2.5155136585235596, 1.7708120346069336, 1.054032564163208, 1.3901960849761963, 1.1720205545425415, 1.3946930170059204, 2.309986114501953]","[1.0395317077636719, 1.0557763576507568, 1.2102304697036743, 1.1308152675628662, 2.8589630126953125, 2.4253408908843994, 2.339506149291992, 2.344202756881714, 1.0282697677612305]","[1.290787696838379, 1.292798638343811, 2.0798819065093994, 2.6691770553588867, 1.41067636013031, 3.434295654296875, 1.8351984024047852, 1.029194712638855]","[1.974714756011963, 1.0611422061920166, 1.0950368642807007, 2.5902748107910156, 1.2656346559524536, 1.6201225519180298, 1.7797856330871582, 1.1348741054534912, 1.9981149435043335]","[1.1815627813339233, 1.1236145496368408, 2.2955081462860107, 1.522150993347168, 1.0438600778579712, 1.5011653900146484, 2.2593564987182617]","[2.265390634536743, 2.056981325149536, 1.410413384437561, 1.0530825853347778, 1.4160658121109009, 3.850313901901245, 1.3012778759002686]","[1.6370127201080322, 1.0847325325012207, 1.9032795429229736, 1.6422083377838135, 2.042710304260254, 1.5221302509307861, 1.2381283044815063]","[1.5213260650634766, 1.0788817405700684, 2.876004695892334, 2.057382822036743, 1.7723214626312256, 1.329267978668213]","[1.8064146041870117, 2.7975823879241943, 2.2229554653167725, 1.8497307300567627, 1.1577264070510864, 3.31925368309021, 1.724881649017334, 2.4438693523406982, 1.246781826019287]","[2.0143227577209473, 2.3224422931671143, 1.5465202331542969, 2.332002639770508, 1.0580857992172241, 2.3099069595336914, 2.639472007751465, 2.342606782913208, 1.383204460144043, 1.0763497352600098, 2.099017858505249]","[2.575087785720825, 1.688293695449829, 2.1290862560272217, 1.9877440929412842, 2.258798360824585, 1.1540796756744385, 1.6901319026947021]"
StarganPhoneDW,MSE,"[0.2245238396139706, 0.2685523189715485, 0.1735463440301142, 0.15395680273868653, 0.19165444953861663, 0.2567915795554577]","[0.26012766768292683, 0.304066162109375, 0.30611919765054746, 0.22605059560761767, 0.23727024912044703, 0.25930427713597076, 0.2438423969848356, 0.25797105512360446]","[0.24264914772727272, 0.2189258670590632, 0.23534014483797633, 0.32726829562124726, 0.20488722780917554, 0.21602230848769796, 0.20949572499003044]","[0.16611678968415974, 0.20146502594449628, 0.1673848512261735, 0.15398135750308603, 0.18094418690386546, 0.1763939881056882, 0.3799612897670341, 0.25595880681818184, 0.2503046833532378]","[0.21983248935656602, 0.31813901493887226, 0.21674958189090568, 0.199451043329445, 0.20221919803828983, 0.2907784598214286, 0.19824325361626638, 0.17670666474910926]","[0.20367876473119703, 0.21027116798273418, 0.27067292731263104, 0.21069709651577276, 0.24860751600150602, 0.2895138663327407, 0.28849383927276684, 0.2096018169649798]","[0.3525808888561321, 0.42342377061381353, 0.3518221279598018, 0.32976071319217637, 0.27793079007056454, 0.3510217208703027, 0.34314436613073673]","[0.24847621431982173, 0.3375533971083412, 0.2798961907815832, 0.264041699461676, 0.23532704498808263, 0.3079791432632081, 0.2454664741128178]","[0.2598485584327397, 0.23884697417846973, 0.24849726979325457, 0.2512611355844023, 0.28329387301121955, 0.2638848582440724, 0.33956788891423356]","[0.2943025770040011, 0.1955427786604089, 0.2665256970994016, 0.30014205178380465, 0.3001323811058859, 0.19047002990581696, 0.24158345969028566, 0.2625791173920667, 0.26810733465638725]","[0.44539973316912973, 0.33836957290618713, 0.30971205605798546, 0.37317715440775107, 0.3472180740694165, 0.4549848989151874, 0.39445456288343556, 0.43302909798698513, 0.4612169989224138]","[0.33568296983506946, 0.43348690418714886, 0.31952946235944035, 0.31747503366247753, 0.44103526698332884, 0.43899882477917557, 0.286224592279814, 0.4670307168889578]","[0.3004451280644673, 0.18142161386790293, 0.28362927297169194, 0.17018506748956225, 0.23350391656580105, 0.2565802951388889, 0.16923397805193346, 0.1688353656089469, 0.18489655690213128]","[0.28649314597800923, 0.3809961462533602, 0.2971490464288316, 0.32766491305443546, 0.28020988572830274, 0.2656540083937363, 0.4065507668535012]","[0.2115698522808908, 0.18356631671441898, 0.21564916323309075, 0.33039216198808885, 0.24227605031213914, 0.15957355281035468, 0.19507748599343458]","[0.18708509879924923, 0.12933677256532067, 0.12958630935409063, 0.19815175251788403, 0.1488857917701435, 0.20236429354039634, 0.17187891436869063]","[0.1781306394234231, 0.14436918633169235, 0.17372154058412065, 0.12323563187210648, 0.16686332579802102, 0.20422683497491056]","[0.1952449092158565, 0.18457972530574235, 0.20356089917919304, 0.15966142718301435, 0.156518312364299, 0.22334369215141817, 0.18951231181491693, 0.1562882714616113, 0.1480640506528132]","[0.2527816447805851, 0.22139027042901896, 0.13444454920431056, 0.1600692066865809, 0.35032273815524195, 0.17805778918255025, 0.2780989049692623, 0.20240470304617433, 0.1743479436175187, 0.2024570382756295, 0.1828627336253998]","[0.2724390933388158, 0.2791439233236755, 0.23503905722698434, 0.24814459036395278, 0.2095472072326031, 0.22607114641853931, 0.22751862160398822]"
StarganPhoneLeakage,PESQ,"[1.5098607540130615, 1.1074111461639404, 1.205580472946167, 1.034385323524475, 2.4524030685424805, 2.0096261501312256]","[1.9571393728256226, 1.2927063703536987, 1.2819498777389526, 1.2198725938796997, 1.054572343826294, 2.0828018188476562, 1.132668375968933, 1.5207102298736572]","[1.1017709970474243, 1.8707895278930664, 2.2136571407318115, 1.0566447973251343, 2.4143333435058594, 1.6679787635803223, 2.3323118686676025]","[1.1486053466796875, 1.1944890022277832, 1.3858619928359985, 1.5457510948181152, 2.0105769634246826, 1.0565478801727295, 1.8597285747528076, 1.3160046339035034, 1.2500910758972168]","[2.473196506500244, 3.4753477573394775, 2.2932965755462646, 1.375322699546814, 1.0562633275985718, 1.049997329711914, 1.0469282865524292, 1.0700814723968506]","[1.8191579580307007, 1.2297459840774536, 1.9065470695495605, 2.2755138874053955, 1.130089521408081, 1.1308369636535645, 1.8059186935424805, 2.3619301319122314]","[1.0506130456924438, 1.5080368518829346, 1.8169833421707153, 1.8364026546478271, 3.7923202514648438, 1.3819392919540405, 1.3928571939468384]","[1.5138545036315918, 1.567410945892334, 3.0233571529388428, 1.4653936624526978, 1.0389024019241333, 1.3122109174728394, 2.6730339527130127]","[1.0852864980697632, 1.317481517791748, 1.290317177772522, 1.8344330787658691, 2.4542243480682373, 1.1214016675949097, 1.0589158535003662]","[2.3039441108703613, 1.050053358078003, 2.53301739692688, 1.3525524139404297, 1.0660288333892822, 1.7911174297332764, 1.2275402545928955, 2.5669772624969482, 2.2267348766326904]","[2.1644885540008545, 1.0741257667541504, 1.3476488590240479, 1.2552953958511353, 2.377613067626953, 1.6588327884674072, 1.8879152536392212, 1.5881578922271729, 1.0685890913009644]","[3.3050100803375244, 1.8299462795257568, 2.5235915184020996, 2.6830790042877197, 1.7665963172912598, 2.3701577186584473, 2.0833492279052734, 1.028680443763733]","[2.523540735244751, 2.300612688064575, 1.1424211263656616, 3.855536460876465, 1.2159521579742432, 1.8205316066741943, 1.5026648044586182, 1.0490473508834839, 3.0784049034118652]","[1.223154067993164, 3.032923698425293, 1.551745891571045, 1.4017202854156494, 1.1268221139907837, 2.4418632984161377, 2.1944892406463623]","[1.7683836221694946, 2.726447343826294, 1.622530460357666, 1.0431917905807495, 1.8702175617218018, 2.0164263248443604, 1.2080706357955933]","[1.5172855854034424, 1.060998797416687, 2.242298126220703, 1.7495321035385132, 1.6787445545196533, 1.7376214265823364, 1.1299676895141602]","[1.4660265445709229, 1.154127836227417, 2.156050205230713, 2.346398115158081, 1.7813571691513062, 1.0887056589126587]","[3.172196865081787, 1.3756279945373535, 2.6268210411071777, 3.170780897140503, 1.1439963579177856, 2.8028645515441895, 1.6548495292663574, 1.4195191860198975, 1.128612756729126]","[1.167069673538208, 1.9224417209625244, 2.5686256885528564, 1.4058167934417725, 1.0726382732391357, 1.303152084350586, 2.796118974685669, 1.7841119766235352, 1.4873645305633545, 1.086620807647705, 2.2989277839660645]","[2.1489930152893066, 1.4494472742080688, 3.2706186771392822, 1.6247704029083252, 1.7353911399841309, 1.3528406620025635, 3.690260648727417]"
StarganPhoneLeakage,MSE,"[0.2148069709329044, 0.24728735169368005, 0.15899005882398085, 0.17537425464352235, 0.19129656846115076, 0.24096590856990904]","[0.28426103226399174, 0.32387820221656977, 0.3402493739070103, 0.2607011790380501, 0.27952401201193433, 0.2837474547041223, 0.2727113615628543, 0.29484355141671653]","[0.3044572955206131, 0.2896376421662415, 0.3137514885248268, 0.3890651919435726, 0.2546269583194814, 0.2785517489748303, 0.2332562439956134]","[0.24302228986509056, 0.2560610643073694, 0.1881020193772692, 0.21694178591151247, 0.2416530869572038, 0.23915672730863763, 0.495166015625, 0.32439130070233585, 0.2606314689490446]","[0.24075263891327248, 0.37759622356848804, 0.24904560995197106, 0.21313934625951622, 0.22615130637591574, 0.3486571378915708, 0.2025893298819596, 0.19253096410610895]","[0.19703216922196579, 0.21591323451950328, 0.31654930514609536, 0.1852908014969341, 0.24878106174698794, 0.2912861296071526, 0.2962627791473318, 0.1816776560313666]","[0.3264992998231132, 0.33300378107859413, 0.34452038735545154, 0.30820883707875596, 0.24286642095094085, 0.28975990629893006, 0.2929050316557216]","[0.3046936346031409, 0.3798979732174504, 0.3404785676805704, 0.3302616555892413, 0.29914769502875305, 0.3331827799479167, 0.3058966788599047]","[0.1995658190874216, 0.1542146019512515, 0.17978774652248475, 0.18687405648710426, 0.23164116973567445, 0.1682109610609921, 0.22408364103368308]","[0.32047897911492823, 0.24237248814521145, 0.27462345204454786, 0.3515639852661597, 0.2944255347390777, 0.2084234999729359, 0.2607420292240681, 0.25445139592425187, 0.3130892618159773]","[0.6010438715491585, 0.4808081398547535, 0.399952500219864, 0.49577988537117906, 0.5249627157476107, 0.5587150498489891, 0.5051249560646728, 0.5489987999678204, 0.5709012036253078]","[0.43698866102430556, 0.5416421611657304, 0.38989860502745816, 0.37287062913767954, 0.5210970192697084, 0.5325606221560493, 0.3567097002359136, 0.552718745153536]","[0.36950654036773606, 0.2308691898108402, 0.3609540995194822, 0.2138420815409919, 0.31507339119351524, 0.3224391004774306, 0.1963721552055231, 0.2079254926767368, 0.23127017480060147]","[0.31743293668016975, 0.3968421066448253, 0.35473225911458334, 0.36314151230678765, 0.3400892212492595, 0.2830748042601203, 0.4260280299831081]","[0.2923468648976293, 0.2977046616804371, 0.2575565146528967, 0.459217537138651, 0.33754352807448035, 0.20015434771435212, 0.24581184208113263]","[0.3400472339418634, 0.22581386973908849, 0.18069610966963198, 0.3064960525696536, 0.2633623068432671, 0.33997333233173077, 0.22105425836921022]","[0.20244137812319987, 0.16493216736675942, 0.2161475319086119, 0.12480646935423476, 0.1776859836203041, 0.24986595554078894]","[0.21932910558127572, 0.18745254967283095, 0.1995570701888845, 0.15189185621635765, 0.1596997585249302, 0.23748485151543675, 0.19340025126804194, 0.16699157572570658, 0.15234492641457625]","[0.40564653112533244, 0.3392575737316626, 0.19606527484344602, 0.2367594353170956, 0.4685717510920699, 0.281992493397237, 0.3560622518570697, 0.2929730470939602, 0.26024629588139025, 0.27281666854016784, 0.2438955213469483]","[0.27700311909874514, 0.3004507170081402, 0.2608833197641064, 0.2697082371746368, 0.21144209085051546, 0.23591687148876406, 0.23954124042257763]"
