Wall time,Step,Value
1670867694.41865,0,0.0019488530233502388
1670868098.1822014,1,0.012816272675991058
1670868487.6983585,2,0.00798660609871149
1670868877.4623947,3,0.005506723187863827
1670869267.0178344,4,0.002995845163241029
1670869656.5253696,5,0.001359350048005581
1670870046.2000463,6,0.0013253010110929608
1670870435.7465012,7,0.001392650417983532
1670870825.1696672,8,0.0018701163353398442
1670871214.8210506,9,0.002209617057815194
1670871604.4459944,10,0.002717304741963744
1670871996.6414735,11,0.002787605859339237
1670872386.1163697,12,0.0024553630501031876
1670872775.46104,13,0.002045817207545042
1670873165.101703,14,0.0019587280694395304
1670873554.5576572,15,0.0018758721416816115
1670873943.9500926,16,0.00205174065195024
1670874333.5101752,17,0.0022936214227229357
1670874722.879851,18,0.00256319809705019
1670875112.3408425,19,0.0025232313200831413
1670875501.7483,20,0.002560332417488098
1670875894.1214838,21,0.002857481362298131
1670876283.3666503,22,0.0031907218508422375
1670876672.6137123,23,0.003719624597579241
1670877061.9649174,24,0.00485286395996809
1670877451.2160983,25,0.0051774391904473305
1670877840.7142973,26,0.004653559532016516
1670878229.986047,27,0.003990822471678257
1670878619.2230072,28,0.0039057868998497725
1670879019.3121915,29,0.0009545442298986018
1670879419.0509617,30,0.0005741839995607734
1670879821.81389,31,0.0006585129885934293
1670880222.0129077,32,0.0009514809935353696
1670880622.184207,33,0.0012460118159651756
1670881022.1739132,34,0.0014593926025554538
1670881422.4422498,35,0.001598167815245688
1670881822.4661791,36,0.0019083877559751272
1670882222.9186716,37,0.0024278471246361732
1670882622.7223275,38,0.0023942990228533745
1670883022.463082,39,0.002944787498563528
1670883422.6063826,40,0.00299843936227262
1670883825.4651241,41,0.0032209372147917747
1670884225.7797856,42,0.003101012436673045
1670884626.0354877,43,0.0031724018044769764
1670885026.2424955,44,0.003486157860606909
1670885426.235994,45,0.0036414305213838816
1670885826.1851258,46,0.003410590812563896
1670886226.2625546,47,0.003783767344430089
1670886626.4306302,48,0.0036694391164928675
1670887041.3574812,49,0.0033902141731232405
1670887456.3418672,50,0.0029337392188608646
1670887873.743677,51,0.002849572105333209
1670888288.4360769,52,0.002517780289053917
1670888703.3480492,53,0.002641076222062111
1670889118.2076974,54,0.0026341525372117758
1670889533.277596,55,0.002770304912701249
1670889948.1373897,56,0.002742849523201585
1670890362.9448206,57,0.002607575384899974
1670890777.7656653,58,0.0024403645657002926
1670891192.7750106,59,0.0024323672987520695
1670891607.605569,60,0.0023599963169544935
1670892025.0626035,61,0.002677228767424822
1670892440.0198576,62,0.0025947268586605787
1670892854.7040505,63,0.002984445309266448
1670893269.5063226,64,0.003241432597860694
1670893684.5308352,65,0.003039394738152623
1670894099.3301678,66,0.0030864395666867495
1670894513.8168464,67,0.0031970804557204247
1670894928.6723576,68,0.003532610833644867
1670895343.2209058,69,0.003339471062645316
1670895758.0730739,70,0.0032019023783504963
1670896175.6914506,71,0.0032782182097434998
1670896590.58923,72,0.003235721029341221
1670897005.6489098,73,0.003208794165402651
1670897420.597404,74,0.003237101947888732
1670897835.3275557,75,0.0034337930846959352
1670898250.1207108,76,0.003521440550684929
1670898665.01124,77,0.0035091161262243986
